CarryingCap,NPfix
1.0,2.0
2.0,1.002928
4.0,1.000164
10.0,1.002172
21.0,1.046496
46.0,0.999256
100.0,1.001332
215.0,1.003944
464.0,0.998656
1000.0,1.000476
